dataset,corruption,n,grand_mean_ap_points,ss_training,ss_calibration,ss_interaction,ss_total,share_training,share_calibration,share_interaction
voc,gaussian_noise,9,-1.4938733944819333,7.759834532691091,6.224160228509838,13.11048962551006,27.094484386710988,0.28639904793674725,0.2297205637750611,0.48388038828819163
voc,motion_blur,9,-1.2555605098026619,0.6974531308644081,1.1140934625186472,4.366190922059194,6.177737515442247,0.1128978253156616,0.18034004515954127,0.7067621295247976
voc,fog,9,0.01849004418077819,0.30395845387789905,0.3247844718913282,0.2603095651508843,0.8890524909201117,0.3418903349152329,0.36531529376313576,0.29279437132163116
voc,jpeg,9,-2.032568509878188,0.6896174581409513,5.959265709184459,0.7816851023064918,7.430568269631899,0.09280817201550509,0.8019932652445266,0.10519856273996868
kitti,gaussian_noise,9,-3.5318847324417457,1.6644895889201323,0.44469527804495534,1.123625266491276,3.232810133456365,0.5148739085213583,0.1375568807591891,0.3475692107194523
kitti,motion_blur,9,-4.349745620401356,9.747059890546199,6.374042452403625,0.9380942158909352,17.059196558840764,0.5713668786760581,0.3736425939180787,0.05499052740586291
kitti,fog,9,1.6080106464162427,2.076732419373495,2.1554690163679533,4.4659186244773625,8.69812006021881,0.238756467489051,0.24780860708350927,0.5134349254274397
kitti,jpeg,9,0.11983375178649237,0.4436116367367804,0.6303439672343282,0.08032364585194597,1.1542792498230545,0.3843191643658014,0.5460931289642059,0.06958770666999273
tt100k,gaussian_noise,9,-1.3806147568477547,0.2968761980155392,0.7719492721610252,2.3623044951371654,3.4311299653137297,0.08652432318703905,0.22498397902873987,0.6884916977842211
tt100k,motion_blur,9,-0.9976210944753477,0.7056445722948044,0.3072285528518923,4.603126619652327,5.615999744799025,0.1256489680129173,0.05470594138406373,0.8196450906030188
tt100k,fog,9,0.7693639915959256,1.4121441440929494,3.3688325964998067,7.481421820423389,12.262398561016145,0.11516051587022708,0.27472868213644513,0.6101108019933278
tt100k,jpeg,9,-0.7867068709378409,25.27155708368266,0.15081310193845765,2.373451748631485,27.795821934252604,0.909185457564782,0.005425747160677112,0.08538879527454075
