stratum,level,conditions,fp32_over_int8,fp32_over_int8_q25,fp32_over_int8_q75,fp32_over_fp8,fp32_over_fp8_q25,fp32_over_fp8_q75,int8_over_fp8,int8_over_fp8_q25,int8_over_fp8_q75
input-size,640,9,3.0756210740434677,1.5552478529967526,3.0845844647433123,3.3231786508154544,1.813503626803112,3.334942648721868,1.0865627789348409,1.0804902719848146,1.1602557370162263
input-size,1280,3,2.8111010138445374,2.3785238164914135,2.8411008853863553,2.860742424633825,2.3258938855181617,2.906132609946552,1.0176590633153366,0.9690285239598351,1.0228349680982114
capacity,yolo11m,4,3.08297300776208,3.0137964165467697,3.085800206488714,3.336386472648213,3.212523478498882,3.3484913659673223,1.0813495807247828,1.062759276467132,1.0864068805551113
capacity,yolo11n,4,1.546016886280518,1.524247746402597,1.652922544532137,1.7977652951620746,1.7873737619480212,1.806739839642016,1.1701591811704797,1.1002912989132532,1.1837687680932147
capacity,yolo11x,4,3.059816549811748,3.000784208417065,3.0918610383615395,3.315344408220382,3.218513323033802,3.326119650292058,1.0711887291773605,1.0534181079977012,1.0820083987223212
