dataset,model,corruption,severity,endpoint_type,n_images,delta_q_all,delta_e_all,delta_e_ci_low,delta_e_ci_median,delta_e_ci_high,delta_e_small,delta_e_large,delta_psi,delta_psi_ci_low,delta_psi_ci_median,delta_psi_ci_high,clean_gap_ap,adjusted_interaction_ap,raw_corrupt_gap_ap,min_corrupt_ap
coco,yolo11n,jpeg,3,area,5000,0.0115643011,-0.0029082723,-0.0071795710,-0.0032146767,0.0001271193,0.0023704269,-0.0025622339,0.0049326608,-0.0115675051,0.0039422099,0.0202674579,1.1564301116,-0.2908272264,0.8656028853,33.7558970126
coco,yolo11n,jpeg,5,area,5000,0.0115643011,-0.0145673201,-0.0189400439,-0.0147012663,-0.0108259047,-0.0086407202,-0.0221044646,0.0134637443,-0.0041167340,0.0146674569,0.0357577951,1.1564301116,-1.4567320071,-0.3003018955,21.3405467868
coco,yolo11n,motion_blur,1,area,5000,0.0115643011,-0.0025557174,-0.0061117146,-0.0026360151,0.0009112998,0.0045477374,-0.0024507639,0.0069985013,-0.0075672200,0.0084779351,0.0258501168,1.1564301116,-0.2555717447,0.9008583669,31.4203728298
coco,yolo11n,motion_blur,3,area,5000,0.0115643011,-0.0075410870,-0.0119965361,-0.0077190214,-0.0037902023,-0.0048013473,0.0019075568,-0.0067089042,-0.0252161803,-0.0033597599,0.0187036363,1.1564301116,-0.7541087040,0.4023214076,14.5638233173
coco,yolo11n,motion_blur,5,area,5000,0.0115643011,-0.0103008606,-0.0144912770,-0.0104932120,-0.0068983688,-0.0107717968,-0.0075775587,-0.0031942381,-0.0204614883,-0.0023266250,0.0171799429,1.1564301116,-1.0300860633,0.1263440483,5.5448712799
coco,yolo11x,fog,1,area,5000,0.0091046378,-0.0012283609,-0.0039053975,-0.0012762095,0.0011668741,-0.0091312620,-0.0043386239,-0.0047926381,-0.0164748873,-0.0047961574,0.0065069285,0.9104637831,-0.1228360926,0.7876276905,52.3773089202
coco,yolo11x,fog,3,area,5000,0.0091046378,-0.0001702120,-0.0031278936,-0.0001744491,0.0027886747,-0.0000107174,0.0003487386,-0.0003594560,-0.0115130650,-0.0005405736,0.0110936919,0.9104637831,-0.0170211975,0.8934425856,51.8902741579
coco,yolo11x,fog,5,area,5000,0.0091046378,0.0008193606,-0.0024036626,0.0007455839,0.0031752631,0.0060196599,0.0050778196,0.0009418402,-0.0109836720,0.0019082593,0.0145964580,0.9104637831,0.0819360570,0.9923998400,51.6456412141
coco,yolo11x,gaussian_noise,1,area,5000,0.0091046378,0.0015518662,-0.0018240700,0.0012284986,0.0044927294,0.0108809787,0.0029044738,0.0079765049,-0.0053892196,0.0055585885,0.0174231439,0.9104637831,0.1551866217,1.0656504048,50.6135006900
coco,yolo11x,gaussian_noise,3,area,5000,0.0091046378,0.0025254040,-0.0014659411,0.0019418916,0.0056939719,0.0093327129,0.0075941497,0.0017385632,-0.0119682262,0.0021917704,0.0147877308,0.9104637831,0.2525404014,1.1630041845,45.8137136375
coco,yolo11x,gaussian_noise,5,area,5000,0.0091046378,-0.0089405100,-0.0128353840,-0.0091534026,-0.0057765609,-0.0016193755,-0.0146258127,0.0130064372,-0.0006982245,0.0127646248,0.0272254179,0.9104637831,-0.8940510015,0.0164127815,36.4826126628
coco,yolo11x,jpeg,1,area,5000,0.0091046378,-0.0018678424,-0.0053543522,-0.0018322717,0.0014240558,0.0049438707,0.0033069246,0.0016369461,-0.0117033407,0.0022002549,0.0144036405,0.9104637831,-0.1867842410,0.7236795421,50.8195641485
coco,yolo11x,jpeg,3,area,5000,0.0091046378,-0.0124143317,-0.0164146936,-0.0126240014,-0.0087286887,-0.0089190686,-0.0115726358,0.0026535672,-0.0166655292,-0.0006247527,0.0134536062,0.9104637831,-1.2414331684,-0.3309693853,46.6893600630
coco,yolo11x,jpeg,5,area,5000,0.0091046378,-0.0422923094,-0.0473309893,-0.0425004833,-0.0380130086,-0.0158598803,-0.0636352476,0.0477753674,0.0315134663,0.0464533326,0.0632779940,0.9104637831,-4.2292309369,-3.3187671538,21.1418922038
coco,yolo11x,motion_blur,1,area,5000,0.0091046378,0.0009436519,-0.0019931830,0.0008529969,0.0037199298,0.0083590892,0.0060306257,0.0023284635,-0.0143092363,0.0014602999,0.0164110630,0.9104637831,0.0943651899,1.0048289730,46.7208661272
coco,yolo11x,motion_blur,3,area,5000,0.0091046378,0.0003519339,-0.0036513855,0.0001650118,0.0039169296,0.0001348722,0.0130630641,-0.0129281919,-0.0293697787,-0.0147524264,0.0008221601,0.9104637831,0.0351933857,0.9456571688,27.7648635682
coco,yolo11x,motion_blur,5,area,5000,0.0091046378,0.0017398863,-0.0020640918,0.0016839757,0.0053872237,-0.0055816569,0.0171606671,-0.0227423240,-0.0399447069,-0.0241002002,-0.0083705761,0.9104637831,0.1739886305,1.0844524135,13.1299097760
kitti,yolo11m,fog,1,area,1496,0.0396671629,-0.0056041867,-0.0149106556,-0.0053335867,0.0040942429,0.0038724686,-0.0062291869,0.0101016555,-0.0131385523,0.0088720001,0.0313926628,3.9667162903,-0.5604186658,3.4062976245,64.3280904390
kitti,yolo11m,fog,3,area,1496,0.0396671629,0.0017982969,-0.0075864010,0.0020717968,0.0116065499,0.0146455320,-0.0012727716,0.0159183036,-0.0087713466,0.0165610992,0.0482125311,3.9667162903,0.1798296881,4.1465459784,56.0040988350
kitti,yolo11m,fog,5,area,1496,0.0396671629,0.0152564076,0.0034334834,0.0158937407,0.0303058334,0.0104147690,0.0143713454,-0.0039565764,-0.0369537151,-0.0038665875,0.0282449655,3.9667162903,1.5256407596,5.4923570499,46.5480643117
kitti,yolo11m,gaussian_noise,1,area,1496,0.0396671629,0.0266989992,0.0164779893,0.0270279100,0.0375578889,0.0091191927,0.0451352805,-0.0360160878,-0.0579672414,-0.0366435329,-0.0132211260,3.9667162903,2.6698999185,6.6366162087,58.5330980779
kitti,yolo11m,gaussian_noise,3,area,1496,0.0396671629,-0.0033181323,-0.0112157436,-0.0033254992,0.0040491611,-0.0131668831,0.0031994012,-0.0163662843,-0.0399671321,-0.0162145841,0.0046603277,3.9667162903,-0.3318132323,3.6349030580,24.9069462485
kitti,yolo11m,gaussian_noise,5,area,1496,0.0396671629,-0.0365807806,-0.0419195546,-0.0361165323,-0.0307457566,-0.0433725250,-0.0164645918,-0.0269079333,-0.0457681834,-0.0263083347,-0.0094951534,3.9667162903,-3.6580780610,0.3086382293,2.4549212133
kitti,yolo11m,jpeg,1,area,1496,0.0396671629,-0.0040903137,-0.0096329891,-0.0036455917,0.0025383484,-0.0010546758,-0.0042378473,0.0031831715,-0.0113463696,0.0024399847,0.0156296011,3.9667162903,-0.4090313747,3.5576849156,68.8086294325
kitti,yolo11m,jpeg,3,area,1496,0.0396671629,0.0062123633,-0.0009231773,0.0064562834,0.0145662472,0.0001438266,0.0110785320,-0.0109347054,-0.0290670592,-0.0111383187,0.0073963671,3.9667162903,0.6212363268,4.5879526171,67.6263632883
kitti,yolo11m,jpeg,5,area,1496,0.0396671629,-0.0015709262,-0.0085723957,-0.0013507385,0.0068578486,0.0074735747,0.0015599801,0.0059135946,-0.0170672014,0.0063772242,0.0339781590,3.9667162903,-0.1570926204,3.8096236698,65.8455881860
kitti,yolo11m,motion_blur,1,area,1496,0.0396671629,-0.0038972765,-0.0136772330,-0.0037208416,0.0062371663,-0.0068919813,-0.0043470478,-0.0025449335,-0.0245366290,-0.0021693384,0.0201749175,3.9667162903,-0.3897276533,3.5769886370,67.4987148205
kitti,yolo11m,motion_blur,3,area,1496,0.0396671629,-0.0336568605,-0.0440808119,-0.0337916899,-0.0239868347,-0.0451340861,-0.0189629252,-0.0261711609,-0.0591019189,-0.0251138286,0.0034302610,3.9667162903,-3.3656860485,0.6010302418,33.5922648050
kitti,yolo11m,motion_blur,5,area,1496,0.0396671629,-0.0428107400,-0.0509264279,-0.0429716740,-0.0352250878,-0.0443723047,-0.0243005105,-0.0200717943,-0.0411848079,-0.0186875130,0.0017953977,3.9667162903,-4.2810739985,-0.3143577083,8.7002404235
kitti,yolo11n,fog,1,area,1496,0.0213750748,-0.0039902529,-0.0133323560,-0.0033829403,0.0073123737,0.0145240002,-0.0083249416,0.0228489419,-0.0077573608,0.0199146937,0.0479012228,2.1375074774,-0.3990252887,1.7384821886,56.4762196268
kitti,yolo11n,fog,3,area,1496,0.0213750748,0.0061881080,-0.0020116465,0.0067166725,0.0181192523,0.0307377821,0.0119178166,0.0188199655,-0.0128456099,0.0170567363,0.0495987644,2.1375074774,0.6188107977,2.7563182751,44.4636374416
kitti,yolo11n,fog,5,area,1496,0.0213750748,0.0310273183,0.0188596790,0.0318311785,0.0460138513,0.0227849623,0.0456678975,-0.0228829352,-0.0597001333,-0.0220814277,0.0184137710,2.1375074774,3.1027318345,5.2402393119,28.1961665411
kitti,yolo11n,gaussian_noise,1,area,1496,0.0213750748,0.0096444342,0.0011946480,0.0102044124,0.0203008723,0.0036455513,0.0194888095,-0.0158432582,-0.0446528050,-0.0172714385,0.0137756181,2.1375074774,0.9644434242,3.1019509016,56.9502890861
kitti,yolo11n,gaussian_noise,3,area,1496,0.0213750748,0.0139402984,0.0032180791,0.0148867124,0.0282040860,0.0038373550,0.0200495129,-0.0162121579,-0.0418632991,-0.0171361952,0.0086383781,2.1375074774,1.3940298414,3.5315373187,35.7808795006
kitti,yolo11n,gaussian_noise,5,area,1496,0.0213750748,-0.0112694042,-0.0190180543,-0.0108986174,-0.0012440245,-0.0069908961,-0.0114613567,0.0044704606,-0.0186134917,0.0032672852,0.0255742817,2.1375074774,-1.1269404151,1.0105670622,6.8632744496
kitti,yolo11n,jpeg,1,area,1496,0.0213750748,0.0016576956,-0.0043952808,0.0023291909,0.0088410617,0.0039777555,-0.0005386679,0.0045164234,-0.0176336441,0.0036319504,0.0209430615,2.1375074774,0.1657695648,2.3032770422,61.0733328760
kitti,yolo11n,jpeg,3,area,1496,0.0213750748,-0.0008705954,-0.0081063898,-0.0009655162,0.0062276930,0.0001282813,0.0011890445,-0.0010607632,-0.0255182619,-0.0020623031,0.0182067913,2.1375074774,-0.0870595417,2.0504479357,60.6907585281
kitti,yolo11n,jpeg,5,area,1496,0.0213750748,0.0041695303,-0.0056572204,0.0045017004,0.0148260345,-0.0048687103,0.0086379376,-0.0135066479,-0.0457145691,-0.0129823673,0.0119855929,2.1375074774,0.4169530324,2.5544605098,58.6823823379
kitti,yolo11n,motion_blur,1,area,1496,0.0213750748,-0.0072932860,-0.0166534580,-0.0065826788,0.0053692390,0.0039175529,-0.0054187906,0.0093363434,-0.0222774305,0.0088894858,0.0367794814,2.1375074774,-0.7293286006,1.4081788768,59.8560062636
kitti,yolo11n,motion_blur,3,area,1496,0.0213750748,-0.0270720766,-0.0385246342,-0.0265724243,-0.0126193194,-0.0200241963,-0.0153700873,-0.0046541090,-0.0366729280,-0.0052042390,0.0274447888,2.1375074774,-2.7072076631,-0.5697001857,27.4903678146
kitti,yolo11n,motion_blur,5,area,1496,0.0213750748,-0.0169872022,-0.0268662416,-0.0166196289,-0.0045577000,-0.0130458319,0.0034177585,-0.0164635904,-0.0420232511,-0.0164336622,0.0098171401,2.1375074774,-1.6987202240,0.4387872534,6.1078800463
kitti,yolo11x,fog,1,area,1496,0.0143632784,-0.0023716204,-0.0100127745,-0.0027662997,0.0044845266,0.0018764568,-0.0040048273,0.0058812841,-0.0149116523,0.0057955229,0.0256775593,1.4363278420,-0.2371620395,1.1991658025,66.2415035110
kitti,yolo11x,fog,3,area,1496,0.0143632784,-0.0052694664,-0.0145812795,-0.0054903339,0.0026190796,0.0008961486,-0.0040109270,0.0049070756,-0.0113368069,0.0055951949,0.0238633187,1.4363278420,-0.5269466350,0.9093812069,60.8696871127
kitti,yolo11x,fog,5,area,1496,0.0143632784,-0.0043029559,-0.0109568670,-0.0042831719,0.0028516550,-0.0096544112,-0.0046926303,-0.0049617809,-0.0272663669,-0.0039154523,0.0187982488,1.4363278420,-0.4302955886,1.0060322534,55.2248553635
kitti,yolo11x,gaussian_noise,1,area,1496,0.0143632784,-0.0102652526,-0.0175174476,-0.0106089094,-0.0039044609,-0.0222932507,-0.0063296952,-0.0159635555,-0.0386064437,-0.0148172258,0.0083586638,1.4363278420,-1.0265252574,0.4098025846,64.7689311600
kitti,yolo11x,gaussian_noise,3,area,1496,0.0143632784,-0.0248997388,-0.0335014712,-0.0256060992,-0.0188235599,-0.0484303888,-0.0105123073,-0.0379180815,-0.0562265893,-0.0368839833,-0.0182202271,1.4363278420,-2.4899738844,-1.0536460424,34.5416496666
kitti,yolo11x,gaussian_noise,5,area,1496,0.0143632784,-0.0243348337,-0.0313762370,-0.0241724303,-0.0177208789,-0.0435199134,-0.0075696918,-0.0359502216,-0.0506009619,-0.0347915699,-0.0191271680,1.4363278420,-2.4334833674,-0.9971555255,3.4281245288
kitti,yolo11x,jpeg,1,area,1496,0.0143632784,0.0004382981,-0.0048943833,0.0002488366,0.0057652819,-0.0132257744,0.0038034280,-0.0170292023,-0.0352384859,-0.0177071770,-0.0007251574,1.4363278420,0.0438298125,1.4801576545,70.5509165922
kitti,yolo11x,jpeg,3,area,1496,0.0143632784,-0.0056856211,-0.0110685290,-0.0055175743,0.0001941326,-0.0104196478,-0.0031141284,-0.0073055194,-0.0220672697,-0.0075783250,0.0058364927,1.4363278420,-0.5685621067,0.8677657353,70.5280850825
kitti,yolo11x,jpeg,5,area,1496,0.0143632784,-0.0077130353,-0.0140764264,-0.0077517133,-0.0013553038,-0.0223560333,-0.0059729412,-0.0163830922,-0.0374449783,-0.0152112943,0.0079655983,1.4363278420,-0.7713035274,0.6650243146,67.9507468779
