dataset,model,corruption,severity,endpoint_type,n_images,delta_q_all,delta_e_all,delta_e_ci_low,delta_e_ci_median,delta_e_ci_high,delta_e_small,delta_e_large,delta_psi,delta_psi_ci_low,delta_psi_ci_median,delta_psi_ci_high,clean_gap_ap,adjusted_interaction_ap,raw_corrupt_gap_ap,min_corrupt_ap
tt100k,yolo11n,gaussian_noise,5,tt100k-height,3067,0.0111785962,-0.0071703511,-0.0189466405,-0.0069947226,0.0048260416,0.0070620013,0.0006147879,0.0064472135,-0.0251183904,0.0074706600,0.0376498489,1.1178596197,-0.7170351145,0.4008245052,5.6348728502
tt100k,yolo11n,jpeg,1,tt100k-height,3067,0.0111785962,-0.0009847194,-0.0087722079,0.0016335809,0.0127673553,0.0053533904,0.0052361923,0.0001171981,-0.0238397173,0.0016221123,0.0267693200,1.1178596197,-0.0984719437,1.0193876760,25.6835545013
tt100k,yolo11n,jpeg,3,tt100k-height,3067,0.0111785962,0.0166048308,0.0023523919,0.0145149835,0.0274606578,0.0116876077,0.0203084509,-0.0086208432,-0.0406834017,-0.0067185698,0.0247843221,1.1178596197,1.6604830811,2.7783427009,24.7279013712
tt100k,yolo11n,jpeg,5,tt100k-height,3067,0.0111785962,0.0113850715,-0.0039222854,0.0099572041,0.0237342454,0.0133757773,0.0272273317,-0.0138515543,-0.0410527899,-0.0070752388,0.0255644002,1.1178596197,1.1385071475,2.2563667672,21.1580722262
tt100k,yolo11n,motion_blur,1,tt100k-height,3067,0.0111785962,0.0032476448,-0.0082343821,0.0035451827,0.0158666635,0.0093791496,0.0153400409,-0.0059608912,-0.0435388281,-0.0078393428,0.0259081766,1.1178596197,0.3247644804,1.4426241002,22.2205956794
tt100k,yolo11n,motion_blur,3,tt100k-height,3067,0.0111785962,0.0061973898,-0.0065658241,0.0068627516,0.0209288353,0.0052566119,0.0269372232,-0.0216806113,-0.0510170604,-0.0199831082,0.0086935594,1.1178596197,0.6197389821,1.7375986019,7.3447283330
tt100k,yolo11n,motion_blur,5,tt100k-height,3067,0.0111785962,-0.0003006377,-0.0148417560,-0.0027586806,0.0094302549,0.0054551607,0.0145685396,-0.0091133789,-0.0353659447,-0.0040866593,0.0245144797,1.1178596197,-0.0300637657,1.0877958541,2.0025330298
tt100k,yolo11x,fog,1,tt100k-height,3067,0.0007932389,0.0140799104,-0.0028506310,0.0111641996,0.0269307662,-0.0020168221,0.0129454612,-0.0149622833,-0.0364648048,-0.0108472998,0.0148920688,0.0793238941,1.4079910425,1.4873149366,55.4467764957
tt100k,yolo11x,fog,3,tt100k-height,3067,0.0007932389,0.0075679953,-0.0102466490,0.0055889073,0.0207263402,-0.0033234894,0.0153855973,-0.0187090867,-0.0354214236,-0.0115883853,0.0145817416,0.0793238941,0.7567995321,0.8361234262,55.0865151302
tt100k,yolo11x,fog,5,tt100k-height,3067,0.0007932389,0.0176996997,-0.0015003009,0.0143389481,0.0303815947,0.0072817767,0.0170827108,-0.0098009342,-0.0284726239,-0.0049503058,0.0198460298,0.0793238941,1.7699699714,1.8492938655,54.1418800327
tt100k,yolo11x,gaussian_noise,1,tt100k-height,3067,0.0007932389,0.0169875054,-0.0053135671,0.0152695058,0.0362643385,0.0182432023,0.0272322651,-0.0089890628,-0.0343853018,0.0026287359,0.0402316294,0.0793238941,1.6987505357,1.7780744298,51.0511414530
tt100k,yolo11x,gaussian_noise,3,tt100k-height,3067,0.0007932389,0.0208828263,-0.0003162428,0.0179807279,0.0356038427,0.0124310787,0.0239296608,-0.0114985822,-0.0396045151,-0.0078237154,0.0238302819,0.0793238941,2.0882826326,2.1676065267,30.6168333520
tt100k,yolo11x,gaussian_noise,5,tt100k-height,3067,0.0007932389,0.0021357249,-0.0150827856,-0.0014651447,0.0123877161,-0.0298801849,0.0116855673,-0.0415657522,-0.0589676272,-0.0356767393,-0.0115621379,0.0793238941,0.2135724943,0.2928963884,6.7497808684
tt100k,yolo11x,jpeg,1,tt100k-height,3067,0.0007932389,0.0084094662,-0.0084582397,0.0058119027,0.0203548396,-0.0193504307,0.0148178684,-0.0341682992,-0.0536624889,-0.0278744664,-0.0030454213,0.0793238941,0.8409466224,0.9202705165,55.0105449951
tt100k,yolo11x,jpeg,3,tt100k-height,3067,0.0007932389,0.0071490288,-0.0121628584,0.0046517027,0.0201812949,-0.0080778318,0.0186511719,-0.0267290038,-0.0459450726,-0.0176315636,0.0125934707,0.0793238941,0.7149028808,0.7942267749,54.6559256932
tt100k,yolo11x,jpeg,5,tt100k-height,3067,0.0007932389,0.0075981569,-0.0111717242,0.0055689527,0.0215679991,-0.0128689433,0.0085203885,-0.0213893318,-0.0487242213,-0.0129317701,0.0256569659,0.0793238941,0.7598156876,0.8391395817,46.7866949609
tt100k,yolo11x,motion_blur,1,tt100k-height,3067,0.0007932389,0.0114102571,-0.0069808750,0.0083400114,0.0246336649,-0.0224101631,0.0152335392,-0.0376437023,-0.0627180402,-0.0326127324,-0.0017914072,0.0793238941,1.1410257113,1.2203496053,51.8707494367
tt100k,yolo11x,motion_blur,3,tt100k-height,3067,0.0007932389,0.0026701860,-0.0142161473,0.0002479705,0.0160957785,-0.0283786534,0.0034298519,-0.0318085053,-0.0548550748,-0.0290285497,-0.0023286190,0.0793238941,0.2670185989,0.3463424930,19.3070882083
tt100k,yolo11x,motion_blur,5,tt100k-height,3067,0.0007932389,-0.0003161519,-0.0165793904,-0.0036409302,0.0096156441,-0.0321213491,0.0043359048,-0.0364572538,-0.0539438246,-0.0318206728,-0.0086772339,0.0793238941,-0.0316151921,0.0477087019,5.2248860929
voc,yolo11m,fog,1,area,4952,0.0169687792,0.0001853653,-0.0023799800,0.0002134983,0.0027522262,0.0025276393,0.0010518356,0.0014758037,-0.0455364122,-0.0120858654,0.0240760072,1.6968779241,0.0185365285,1.7154144525,66.1486930808
voc,yolo11m,fog,3,area,4952,0.0169687792,-0.0002430227,-0.0028632287,-0.0001868647,0.0024514247,-0.0199917919,-0.0015420957,-0.0184496963,-0.0407740507,-0.0013647523,0.0291244619,1.6968779241,-0.0243022652,1.6725756589,65.5143631033
voc,yolo11m,fog,5,area,4952,0.0169687792,-0.0009579876,-0.0036741333,-0.0007824982,0.0020716206,0.0019493498,-0.0017783988,0.0037277486,-0.0425800025,0.0048372470,0.0484961371,1.6968779241,-0.0957987634,1.6010791607,64.5952401423
voc,yolo11m,gaussian_noise,1,area,4952,0.0169687792,0.0011835299,-0.0019108846,0.0011128980,0.0043107645,0.0136478916,0.0017151686,0.0119327230,-0.0303157702,0.0004602350,0.0384071446,1.6968779241,0.1183529894,1.8152309135,64.2869310286
voc,yolo11m,gaussian_noise,3,area,4952,0.0169687792,-0.0023040710,-0.0061979475,-0.0022776476,0.0016765150,0.0150568446,0.0010279196,0.0140289251,-0.0268710992,0.0012413003,0.0378925683,1.6968779241,-0.2304071012,1.4664708229,53.8415208238
voc,yolo11m,gaussian_noise,5,area,4952,0.0169687792,-0.0132881819,-0.0169640490,-0.0131738311,-0.0091419100,0.0036181036,-0.0071676129,0.0107857165,-0.0391748269,0.0068009937,0.0514064672,1.6968779241,-1.3288181903,0.3680597338,31.7343390917
voc,yolo11m,jpeg,1,area,4952,0.0169687792,-0.0017395162,-0.0042709485,-0.0015535309,0.0012686732,-0.0054722124,-0.0003782721,-0.0050939403,-0.0502050818,-0.0061455254,0.0328725661,1.6968779241,-0.1739516250,1.5229262991,65.4869691795
voc,yolo11m,jpeg,3,area,4952,0.0169687792,-0.0077982039,-0.0111442652,-0.0079359682,-0.0046217701,0.0023072434,-0.0067970163,0.0091042598,-0.0390325897,0.0068639269,0.0518428226,1.6968779241,-0.7798203887,0.9170575354,63.7106074392
voc,yolo11m,jpeg,5,area,4952,0.0169687792,-0.0272968317,-0.0312632153,-0.0272310352,-0.0227485887,-0.0138920228,-0.0250907790,0.0111987562,-0.0360637050,0.0140353773,0.0625578203,1.6968779241,-2.7296831682,-1.0328052441,44.5805091135
voc,yolo11m,motion_blur,1,area,4952,0.0169687792,-0.0024565263,-0.0062393213,-0.0023610184,0.0012844783,0.0097344903,0.0020956311,0.0076388592,-0.0448674676,0.0070031898,0.0664735295,1.6968779241,-0.2456526303,1.4512252937,58.2619941258
voc,yolo11m,motion_blur,3,area,4952,0.0169687792,-0.0033861875,-0.0073685669,-0.0032400323,0.0009662414,-0.0016321147,0.0049860793,-0.0066181941,-0.0480966266,-0.0039751801,0.0382715516,1.6968779241,-0.3386187525,1.3582591715,22.9877469101
voc,yolo11m,motion_blur,5,area,4952,0.0169687792,-0.0108923454,-0.0140757127,-0.0104603158,-0.0069160168,-0.0039501282,-0.0022614344,-0.0016886938,-0.0440912981,0.0002423341,0.0418845109,1.6968779241,-1.0892345381,0.6076433860,5.9114133052
voc,yolo11n,fog,1,area,4952,0.0067795622,0.0002299116,-0.0026602611,0.0003759532,0.0033742820,0.0115087798,-0.0005146139,0.0120233936,-0.0133381983,0.0070654033,0.0260802292,0.6779562237,0.0229911610,0.7009473847,60.7560868856
voc,yolo11n,fog,3,area,4952,0.0067795622,0.0046285414,0.0013410888,0.0047832634,0.0080404476,0.0292528993,0.0034230411,0.0258298582,-0.0312345426,0.0044895074,0.0479549547,0.6779562237,0.4628541433,1.1408103670,59.3785901068
voc,yolo11n,fog,5,area,4952,0.0067795622,0.0056258473,0.0022824558,0.0058527428,0.0095034332,-0.0119565913,0.0075706117,-0.0195272029,-0.0732007014,-0.0214211346,0.0298279616,0.6779562237,0.5625847259,1.2405409495,57.6704647035
voc,yolo11n,gaussian_noise,1,area,4952,0.0067795622,0.0047261026,0.0011033571,0.0048727348,0.0086526528,0.0671569759,0.0045862999,0.0625706760,-0.0156904916,0.0302757122,0.0732457862,0.6779562237,0.4726102642,1.1505664878,57.6667140099
voc,yolo11n,gaussian_noise,3,area,4952,0.0067795622,0.0047794633,0.0002736492,0.0051621948,0.0098047510,0.0068635432,0.0045480429,0.0023155003,-0.0275326170,-0.0003889378,0.0295964002,0.6779562237,0.4779463301,1.1559025537,43.4770667666
voc,yolo11n,gaussian_noise,5,area,4952,0.0067795622,-0.0010693195,-0.0050047342,-0.0007793117,0.0034546293,0.0280325075,-0.0022411212,0.0302736287,-0.0171507695,0.0108009695,0.0472614774,0.6779562237,-0.1069319538,0.5710242698,14.6973669241
voc,yolo11n,jpeg,1,area,4952,0.0067795622,0.0046042548,0.0013427978,0.0046385296,0.0079474534,0.0221862191,0.0047995531,0.0173866660,-0.0275425981,0.0045888522,0.0435327634,0.6779562237,0.4604254828,1.1383817065,60.4668742235
voc,yolo11n,jpeg,3,area,4952,0.0067795622,0.0044236412,0.0008272759,0.0044696549,0.0082478118,0.0543398992,0.0054885641,0.0488513351,-0.0188604065,0.0179620358,0.0584780773,0.6779562237,0.4423641161,1.1203203397,58.6624412789
voc,yolo11n,jpeg,5,area,4952,0.0067795622,-0.0010292914,-0.0054641637,-0.0006706244,0.0039045616,0.0061523420,-0.0000130987,0.0061654407,-0.0530387118,-0.0094528499,0.0331897659,0.6779562237,-0.1029291429,0.5750270808,42.5885505628
voc,yolo11n,motion_blur,1,area,4952,0.0067795622,-0.0022378230,-0.0067722260,-0.0019724983,0.0023146030,0.0162958143,0.0004920296,0.0158037847,-0.0298738537,0.0093918698,0.0575925022,0.6779562237,-0.2237822997,0.4541739239,50.7157829907
voc,yolo11n,motion_blur,3,area,4952,0.0067795622,0.0123518996,0.0079573032,0.0127514953,0.0175000414,0.0157274514,0.0160892616,-0.0003618102,-0.0473580530,-0.0182171986,0.0206962188,0.6779562237,1.2351899650,1.9131461887,15.0130295397
voc,yolo11n,motion_blur,5,area,4952,0.0067795622,0.0000396654,-0.0031473473,0.0006145283,0.0044682495,0.0206629591,0.0010384111,0.0196245480,-0.0254718454,0.0012704754,0.0379883059,0.6779562237,0.0039665379,0.6819227615,4.1140587023
voc,yolo11x,fog,1,area,4952,0.0091324090,0.0019825725,-0.0004002424,0.0019501638,0.0042786364,0.0044077679,0.0033432466,0.0010645213,-0.0498319756,-0.0102537685,0.0278153434,0.9132409021,0.1982572528,1.1114981549,68.6867622663
voc,yolo11x,fog,3,area,4952,0.0091324090,0.0018749249,-0.0008849165,0.0018064765,0.0043832219,-0.0084259968,0.0023513765,-0.0107773733,-0.0659818214,-0.0145964841,0.0359202292,0.9132409021,0.1874924856,1.1007333877,68.1934850247
voc,yolo11x,fog,5,area,4952,0.0091324090,0.0038269993,0.0007325120,0.0037374819,0.0067472417,-0.0435397839,0.0048096029,-0.0483493868,-0.0777306097,-0.0344457222,0.0094552608,0.9132409021,0.3826999330,1.2959408350,67.1149545489
voc,yolo11x,gaussian_noise,1,area,4952,0.0091324090,0.0040910970,0.0011799312,0.0040779178,0.0070207739,-0.0331387567,0.0053502453,-0.0384890020,-0.0794889112,-0.0289878799,0.0209153068,0.9132409021,0.4091097012,1.3223506033,66.4425906924
voc,yolo11x,gaussian_noise,3,area,4952,0.0091324090,0.0087685522,0.0051739259,0.0086077458,0.0121488257,-0.0138469537,0.0093600455,-0.0232069992,-0.0765369140,-0.0234345523,0.0242853843,0.9132409021,0.8768552199,1.7900961219,57.5568709055
voc,yolo11x,gaussian_noise,5,area,4952,0.0091324090,0.0079729991,0.0038959509,0.0081822627,0.0122559049,-0.0559885786,0.0114940042,-0.0674825827,-0.1000280562,-0.0519453606,-0.0105926986,0.9132409021,0.7972999134,1.7105408155,34.1556049573
voc,yolo11x,jpeg,1,area,4952,0.0091324090,-0.0002733287,-0.0027581004,-0.0003442480,0.0021365379,-0.0422502614,-0.0009428395,-0.0413074219,-0.0670591718,-0.0259162875,0.0041503653,0.9132409021,-0.0273328664,0.8859080357,68.1498859943
voc,yolo11x,jpeg,3,area,4952,0.0091324090,-0.0009281488,-0.0039932351,-0.0009487949,0.0021533619,-0.0390561824,0.0001639461,-0.0392201285,-0.0681070812,-0.0263307013,0.0066753799,0.9132409021,-0.0928148775,0.8204260245,66.3779150277
voc,yolo11x,jpeg,5,area,4952,0.0091324090,-0.0309627741,-0.0354748254,-0.0309515043,-0.0265057050,-0.0518996527,-0.0357480515,-0.0161516013,-0.0521281108,0.0007686096,0.0497785015,0.9132409021,-3.0962774109,-2.1830365088,49.2733685317
voc,yolo11x,motion_blur,1,area,4952,0.0091324090,0.0034315412,-0.0000914920,0.0035914553,0.0073693981,-0.0187253134,0.0054341113,-0.0241594247,-0.0898494498,-0.0233294274,0.0424044002,0.9132409021,0.3431541197,1.2563950218,61.3686640741
voc,yolo11x,motion_blur,3,area,4952,0.0091324090,0.0147651673,0.0112667482,0.0153689792,0.0195652708,-0.0416968734,0.0211112046,-0.0628080780,-0.0898573014,-0.0494829761,-0.0186595064,0.9132409021,1.4765167334,2.3897576354,23.9879853787
voc,yolo11x,motion_blur,5,area,4952,0.0091324090,0.0019750789,-0.0017340572,0.0019588722,0.0055780049,-0.0421517520,0.0058532412,-0.0480049933,-0.0740386031,-0.0335155335,-0.0031001589,0.9132409021,0.1975078927,1.1107487947,6.0805736927
