dataset,model,precision,corruption,severity,clean_ap_native,corrupt_ap_native,d_native,clean_metric_sha256,corrupt_metric_sha256
coco,yolo11m,int8-entropy,motion_blur,3,0.48821302844845793,0.218340462678431,0.26987256577002694,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,22d85505fa1cddb92ed5a2da451be1bab6df3ddf04886d0e25897604500aabd8
coco,yolo11m,fp8,motion_blur,3,0.5005328479281086,0.2433650599586175,0.2571677879694911,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,b0aba616ad5ff5980a4e50105d8bf13d58a86ca29d8ec91b3767dc02d54a98d0
coco,yolo11m,int8-entropy,motion_blur,5,0.48821302844845793,0.09043595874776308,0.3977770697006948,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,6806424efb7a9ec21d8a3a26456f9ec92a4f4ad42205375c6890973d8c11d666
coco,yolo11m,fp8,motion_blur,5,0.5005328479281086,0.10635336658763832,0.39417948134047026,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,bae73cd826d6a83024beb6e2ec0161c0521e988294a51a0d57f2d3dd428d1703
coco,yolo11n,int8-entropy,fog,1,0.3665320370711663,0.3609616473425008,0.00557038972866547,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,f3e4ed19e271c63308c6cacdf341f8305eb751e9e0427e21425dc55bf7df41fd
coco,yolo11n,fp8,fog,1,0.3780963381874539,0.37221494652352827,0.00588139166392565,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,06ba82301c9a4105e5baa7a2087439c337dffcdf9ba962f553751d384c221f0d
coco,yolo11n,int8-entropy,fog,3,0.3665320370711663,0.35302369193887223,0.013508345132294042,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,6f5c245ed7699e36706974ca278ee5121878d1158093768fc556cc21df6ff38e
coco,yolo11n,fp8,fog,3,0.3780963381874539,0.3641286925844827,0.013967645602971202,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,4bd5fb6994993d015cb12bd76495e20cffc8cb25bbb70fd93087444f0f61d208
coco,yolo11n,int8-entropy,fog,5,0.3665320370711663,0.3414974849946078,0.02503455207655847,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,674c011135ecebf850d790b76908cb6112c64f79dfcc4cbe710c8ebda3654cfd
coco,yolo11n,fp8,fog,5,0.3780963381874539,0.35376092555679123,0.02433541263066269,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,e8b38b2131d86e93d6f4a71d4a3f71712ed9607f2fd1c85bf53160b750de9e97
