endpoint,point,ci_low,ci_median,ci_high,planned_component_count,finite_complete_replicates
four_dataset_macro_delta_e,-0.0002091094022162223,-0.0023517064382853406,-0.0004812528418003224,0.0014897225021106727,144,2000
area_macro_delta_psi,-0.005036690441751367,-0.011842233374500393,-0.006172588082731554,7.923599987871168e-05,108,2000
tt100k_height_macro_delta_psi,-0.013777536037902462,-0.025089380932913127,-0.012953462486689764,-0.0014012304331735212,36,2000
